惯家府_咙铰_07	529245	0.8s	bolkmar	FX - Footstep Strong	https://freesound.org/people/bolkmar/sounds/529245/	cand/惯家府_咙铰_07_FX_Footstep_Strong.mp3
器瓤_01	132874	1.3s	ecfike	Monster Short Roar.wav	https://freesound.org/people/ecfike/sounds/132874/	cand/器瓤_01_Monster_Short_Roar_wav.mp3
器瓤_02	85568	2.5s	JoelAudio	DRAGON_ROAR.wav	https://freesound.org/people/JoelAudio/sounds/85568/	cand/器瓤_02_DRAGON_ROAR_wav.mp3
器瓤_03	442815	2.0s	qubodup	Goblin Snarl	https://freesound.org/people/qubodup/sounds/442815/	cand/器瓤_03_Goblin_Snarl.mp3
器瓤_04	144004	1.0s	ArriGD	Zombie Roar 6	https://freesound.org/people/ArriGD/sounds/144004/	cand/器瓤_04_Zombie_Roar_6.mp3
器瓤_05	559953	1.3s	Rizzard	Dinosaur/Dragon Growl	https://freesound.org/people/Rizzard/sounds/559953/	cand/器瓤_05_Dinosaur_Dragon_Growl.mp3
器瓤_06	315798	1.7s	bevibeldesign	dragon roar short 3.aiff	https://freesound.org/people/bevibeldesign/sounds/315798/	cand/器瓤_06_dragon_roar_short_3_aiff.mp3
器瓤_07	233284	2.1s	JarredGibb	Dinosaur 5.wav	https://freesound.org/people/JarredGibb/sounds/233284/	cand/器瓤_07_Dinosaur_5_wav.mp3
见_01	567723	9.8s	iut_Paris8	BORIERO_Nolwen_2020_2021_Monster breathing.wav	https://freesound.org/people/iut_Paris8/sounds/567723/	cand/见_01_BORIERO_Nolwen_2020_2021_Monster.mp3
见_02	119515	19.1s	vrodge	Animal_breathing_monster.aif	https://freesound.org/people/vrodge/sounds/119515/	cand/见_02_Animal_breathing_monster_aif.mp3
见_03	547826	21.5s	Karma-Ron	Dragon Sounds Heavy Breathing Sliced.wav	https://freesound.org/people/Karma-Ron/sounds/547826/	cand/见_03_Dragon_Sounds_Heavy_Breathing_Sl.mp3
见_04	205997	9.2s	Donkeyjohn	Horror theme/ Monster Breathing	https://freesound.org/people/Donkeyjohn/sounds/205997/	cand/见_04_Horror_theme_Monster_Breathing.mp3
见_05	532156	9.2s	soundmast123	dragon breathe ire	https://freesound.org/people/soundmast123/sounds/532156/	cand/见_05_dragon_breathe_ire.mp3
见_06	554907	5.2s	Nox_Sound	Male_Breath_Fast_Loop_Stereo.wav	https://freesound.org/people/Nox_Sound/sounds/554907/	cand/见_06_Male_Breath_Fast_Loop_Stereo_wav.mp3
见_07	257858	22.5s	tompallant	Pig_Grunts_Snorts_Breathing_Hackney_City_Farm.wav	https://freesound.org/people/tompallant/sounds/257858/	cand/见_07_Pig_Grunts_Snorts_Breathing_Hack.mp3
拱扁_01	467701	2.0s	LucasDuff	monster bite	https://freesound.org/people/LucasDuff/sounds/467701/	cand/拱扁_01_monster_bite.mp3
拱扁_02	445987	0.6s	Breviceps	Horror / Zombie - Biting on bones	https://freesound.org/people/Breviceps/sounds/445987/	cand/拱扁_02_Horror_Zombie_Biting_on_bones.mp3
拱扁_03	392883	1.1s	clif_creates	Hard Candy / Bone Crunch	https://freesound.org/people/clif_creates/sounds/392883/	cand/拱扁_03_Hard_Candy_Bone_Crunch.mp3
拱扁_04	563491	1.7s	magnuswaker	Gore Rend	https://freesound.org/people/magnuswaker/sounds/563491/	cand/拱扁_04_Gore_Rend.mp3
拱扁_05	348112	0.3s	LilMati	Crunch	https://freesound.org/people/LilMati/sounds/348112/	cand/拱扁_05_Crunch.mp3
拱扁_06	528962	0.4s	steenish	Crunch	https://freesound.org/people/steenish/sounds/528962/	cand/拱扁_06_Crunch.mp3
